-*	/fruits*/shape	/fruits*/shape	/fruits*/texture	/fruits*/texture	/fruits*/position	/fruits*/position	/fruits*/hairs	/fruits*/hairs	/fruits*/growth form	/fruits*/growth form	/fruits*/colour	/fruits*/colour	/fruits/apex*/shape	/fruits/apex*/shape	/fruits/apex*/texture	/fruits/apex*/texture	/fruits/apex*/position	/fruits/apex*/position	/fruits/dimensions (merged)*/length	/fruits/dimensions (merged)*/length/minimum	/fruits/dimensions (merged)*/length/maximum	/fruits/dimensions (merged)*/width	/fruits/dimensions (merged)*/width/minimum	/fruits/dimensions (merged)*/width/maximum	/fruits/dimensions (merged)*/texture	/fruits/dimensions (merged)*/texture	/fruits/stigma*	/fruits/stigma*	/fruits/stigma*/minimum	/fruits/stigma*/maximum	/fruits/stigma*/shape	/fruits/stigma*/shape	/fruits/stigma*/hairs	/fruits/stigma*/hairs	/fruits/stigma*/growth form	/fruits/stigma*/growth form	/habit*	/habit*	/habit*/minimum	/habit*/maximum	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/texture	/habit*/texture	/habit*/hairs	/habit*/hairs	/habit*/growth form	/habit*/growth form	/habit*/colour	/habit*/colour	/habit/height*	/habit/height*	/habit/height*/minimum	/habit/height*/maximum	/inflorescences*	/inflorescences*	/inflorescences*/minimum	/inflorescences*/maximum	/inflorescences*/shape	/inflorescences*/shape	/inflorescences*/position	/inflorescences*/position	/inflorescences*/growth form	/inflorescences*/growth form	/inflorescences*/colour	/inflorescences*/colour	/inflorescences/floral bracts*/shape	/inflorescences/floral bracts*/shape	/inflorescences/floral bracts*/texture	/inflorescences/floral bracts*/texture	/inflorescences/floral bracts*/margin type	/inflorescences/floral bracts*/margin type	/inflorescences/floral bracts*/hairs	/inflorescences/floral bracts*/hairs	/inflorescences/floral bracts*/colour	/inflorescences/floral bracts*/colour	/inflorescences/growth form*	/inflorescences/growth form*/growth form	/inflorescences/growth form*/growth form	/inflorescences/peduncle*	/inflorescences/peduncle*	/inflorescences/peduncle*/minimum	/inflorescences/peduncle*/maximum	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/hairs	/inflorescences/peduncle*/hairs	/inflorescences/peduncle*/colour	/inflorescences/peduncle*/colour	/inflorescences/peduncle/length*	/inflorescences/peduncle/length*	/inflorescences/peduncle/length*/minimum	/inflorescences/peduncle/length*/maximum	/inflorescences/position*	/inflorescences/position*/position	/inflorescences/position*/position	/inflorescences/position*/colour	/inflorescences/position*/colour	/inflorescences/rachises*	/inflorescences/rachises*/hairs	/inflorescences/rachises*/hairs	/inflorescences/rachises*/colour	/inflorescences/rachises*/colour	/inflorescences/spikes*	/inflorescences/spikes*/shape	/inflorescences/spikes*/shape	/inflorescences/spikes*/growth form	/inflorescences/spikes*/growth form	/inflorescences/spikes*/colour	/inflorescences/spikes*/colour	/inflorescences/spikes/length*	/inflorescences/spikes/length*	/inflorescences/spikes/length*/minimum	/inflorescences/spikes/length*/maximum	/infructescences*	/infructescences*/growth form	/infructescences*/growth form	/infructescences*/colour	/infructescences*/colour	/infructescences/dimensions (merged)*	/infructescences/dimensions (merged)*/length	/infructescences/dimensions (merged)*/length	/infructescences/dimensions (merged)*/length/minimum	/infructescences/dimensions (merged)*/length/maximum	/infructescences/dimensions (merged)*/width	/infructescences/dimensions (merged)*/width	/infructescences/dimensions (merged)*/width/minimum	/infructescences/dimensions (merged)*/width/maximum	/infructescences/dimensions (merged)*/texture	/infructescences/dimensions (merged)*/texture	/internodes*	/internodes*	/internodes*/minimum	/internodes*/maximum	/internodes*/shape	/internodes*/shape	/internodes*/hairs	/internodes*/hairs	/internodes*/colour	/internodes*/colour	/leaves*	/leaves*	/leaves*/minimum	/leaves*/maximum	/leaves*/shape	/leaves*/shape	/leaves/blade*	/leaves/blade*/shape	/leaves/blade*/shape	/leaves/blade*/texture	/leaves/blade*/texture	/leaves/blade*/hairs	/leaves/blade*/hairs	/leaves/blade*/colour	/leaves/blade*/colour	/leaves/blade/apex*	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/apex*/margin type	/leaves/blade/apex*/margin type	/leaves/blade/apex*/hairs	/leaves/blade/apex*/hairs	/leaves/blade/base*	/leaves/blade/base*/shape	/leaves/blade/base*/shape	/leaves/blade/base*/hairs	/leaves/blade/base*/hairs	/leaves/blade/base*/growth form	/leaves/blade/base*/growth form	/leaves/blade/base*/colour	/leaves/blade/base*/colour	/leaves/blade/base/differential distance*	/leaves/blade/base/differential distance*	/leaves/blade/base/differential distance*/minimum	/leaves/blade/base/differential distance*/maximum	/leaves/blade/dimensions*	/leaves/blade/dimensions*/length	/leaves/blade/dimensions*/length	/leaves/blade/dimensions*/length/minimum	/leaves/blade/dimensions*/length/maximum	/leaves/blade/dimensions*/width	/leaves/blade/dimensions*/width	/leaves/blade/dimensions*/width/minimum	/leaves/blade/dimensions*/width/maximum	/leaves/blade/dimensions*/growth form	/leaves/blade/dimensions*/growth form	/leaves/blade/margins*	/leaves/blade/margins*	/leaves/blade/margins*/minimum	/leaves/blade/margins*/maximum	/leaves/blade/margins*/shape	/leaves/blade/margins*/shape	/leaves/blade/margins*/hairs	/leaves/blade/margins*/hairs	/leaves/blade/shape*	/leaves/blade/shape*	/leaves/blade/shape*/minimum	/leaves/blade/shape*/maximum	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/texture*	/leaves/blade/texture*/texture	/leaves/blade/texture*/texture	/leaves/blade/texture*/colour	/leaves/blade/texture*/colour	/leaves/petiole*	/leaves/petiole*	/leaves/petiole*/minimum	/leaves/petiole*/maximum	/leaves/petiole*/shape	/leaves/petiole*/shape	/leaves/petiole*/texture	/leaves/petiole*/texture	/leaves/petiole*/position	/leaves/petiole*/position	/leaves/petiole*/hairs	/leaves/petiole*/hairs	/leaves/petiole*/colour	/leaves/petiole*/colour	/leaves/petiole/length*	/leaves/petiole/length*/minimum	/leaves/petiole/length*/maximum	/leaves/veins*	/leaves/veins*/minimum	/leaves/veins*/maximum	/leaves/veins*/shape	/leaves/veins*/shape	/leaves/veins*/texture	/leaves/veins*/texture	/leaves/veins*/position	/leaves/veins*/position	/leaves/veins*/hairs	/leaves/veins*/hairs	/leaves/veins*/growth form	/leaves/veins*/growth form	/leaves/veins*/colour	/leaves/veins*/colour	/stems*/shape	/stems*/shape	/stems*/texture	/stems*/texture	/stems*/hairs	/stems*/hairs	/stems*/growth form	/stems*/growth form	/stems*/colour	/stems*/colour	/stems/length*	/stems/length*/minimum	/stems/length*/maximum	/habitat*/environment	/habitat*/environment	/habitat*/growth form	/habitat*/growth form	/habitat*/colour	/habitat*/colour	/habitat/altitude*	/habitat/altitude*/minimum	/habitat/altitude*/maximum
PIPERACEAE  	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	-	10000000000000000	shrub,treelet	0	-	0	-	0	-	100000	scandent	0	-	-	-	-	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	-	-	0	-	10	axillary	100000000	panicles	0	-	0	-	0	-	0	-	0	-	0	-	-	0	-	-	-	-	-	0	-	0	-	0	-	-	-	-	-	terminal	1000	terminal	0	-	-	0	-	0	-	-	0	-	0	-	0	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves simple, alternate, opposite or in whorls;      	-	-	-	0	-	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	-	-	-	-	0	-	-	0	-	0	-	-	-	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	0	-	0	-	0	-	-	-	-
PEPEROMIA  	1000000000000010000000000000000000000000000000000000000	cylindric,ellipsoid,globos,sessil,stipitat	100000000000	smooth	100	lateral	0	-	100000000000	mat	0	-	10000100000010	obliqu,truncat,slender	0	-	0	-	-	-	-	-	-	-	0	-	stigma apical, central or at base of beak.	-	-	-	0	-	0	-	0	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	-	1000100000000000000000	epiphytic,terrestrial	0	-	0	-	0	-	11001001	creeping,erect,ascending,hanging	1000000000000000	ros	-	-	-	-	Inflorescences |, solitary or few together, occasionally paniculate; 	-	-	-	1000000000	paniculat	0	-	0	-	0	-	100010000000000000000000000000000000000000000000000000000000000000000000000	rounded,peltat	0	-	0	-	100	glabrous	0	-	-	0	-	-	-	-	-	0	-	0	-	0	-	-	-	-	-	terminal, leaf-opposed or axillary spikes	1010	axillary,terminal	0	-	rachis glabrous (but hairy in P. tetraphylla); 	100000000000100	glabrous,hairy	0	-	-	0	-	0	-	0	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves alternate, opposite or in whorls or 3-7 per node;      	-	3	7	0	-	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	-	-	-	-	0	-	-	0	-	0	-	-	-	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	0	-	0	-	0	-	-	-	-
Peperomia alata 	10000000000000000000000000000000000000000000000000000000000000	globose-ovoid	0	-	100	lateral	0	-	0	-	1000100	brown,reddish	100000000	obliqu	0	-	1	subapical	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	-	-	100000000000000000	terrestrial	0	-	0	-	100	glabrous	0	-	0	-	-	-	-	-	Inflorescence |, single or few together, 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	100	glabrous	0	-	erect	10000000	erect	peduncle not slender, |, green; 	-	-	-	100000000000000000000000000000000000000000000000	not slender	0	-	1	green	0.3-1.5 cm long	-	0.3	1.5	terminal or axillary	1010	axillary,terminal	0	-	-	0	-	0	-	spike |, yellow; 	0	-	0	-	1000000000000000000	yellow	6-14 cm long	-	6	14	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	internodes winged or ridged below nodes, green or reddish. 	-	-	-	10000000000000000000000000000000000000000000000000000000000000000000	 nodes,winged	0	-	101	green,reddish	Leaves alternate;      	-	-	-	0	-	blade |, green above, often reddish brown beneath, |, 	0	-	0	-	0	-	1000101	brown,green,reddish	apex acuminate, 	100000000000000000000000000000000000000000000	acuminat	0	-	0	-	base acute, glabrous; 	1000000000000	acut	100	glabrous	0	-	0	-	-	-	-	-	4.5-13 x 2-5 cm	4.5-13	-	4.5	13	2-5	-	2	5	0	-	margin may be ciliate towards apex, 	-	-	-	0	-	10000000	ciliat	elliptic or broadly elliptic or ovate	-	-	-	10000000000000000000000000000000000000000000000000000000000000000000000000	elliptic,ovat	fleshy membranous or coriaceous	1000001001000	coriaceous,fleshy,membranous	0	-	petiole |, deeply grooved or winged; 	-	-	-	10000000000000000000000000000000000000000000000000000000000000000000	winged	0	-	0	-	0	-	0	-	-	0.3	3	-	3	5	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	0	-	1000000	ascending	0	-	-	10	40	0	-	0	-	0	-	-	0	1700
Peperomia angustata 	10000000000000000000000000000000000000000	globos,ovoid	10000000000	verruculos	0	-	0	-	0	-	10000000000	black	100000000	obliqu	0	-	0	-	-	-	-	-	-	-	0	-	stigma apical.	-	-	-	0	-	0	-	0	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	-	1000000000000000000000	epiphytic	10000000000000000000	 nodes	0	-	0	-	11000001	creeping,erect,ascending	0	-	-	-	-	-	Inflorescence single, 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	oblong,rounded	0	-	0	-	0	-	0	-	erect	10000000	erect	peduncle slender, |, glabrous or minutely pubescent, red; 	-	-	-	10000000000000	slender	100000000000000000	glabrous,minutely pubescent	10000000	red	2-3 cm long	-	2	3	terminal	1000	terminal	0	-	-	0	-	0	-	spike |, moderately to densely flowered; 	0	-	0	-	10000000	red	10-16 cm long	-	10	16	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves in whorls of (2-)3-4, basely attached;      	-	3	4	0	-	-	0	-	0	-	0	-	0	-	apex acute or acuminate, 	100000000000000000000000000000000000000000000	acuminat,acut	0	-	0	-	base acutish to cuneate, glabrous; 	1000000000000000000000000000000000000000000000000	acut,cuneat	100	glabrous	0	-	0	-	-	-	-	-	2-6 x 1-3 cm	2-6	-	2	6	1-3	-	1	3	0	-	-	-	-	-	0	-	0	-	rhombic to elliptic or oblanceolate	-	-	-	1000000001000000000000000000000000000000000	elliptic,oblanceolate,rhombic	fleshy to coriaceous	1001000	coriaceous,fleshy	0	-	petiole |, glabrous; 	-	-	-	0	-	0	-	0	-	100	glabrous	0	-	-	0.2	1.5	3	-	-	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	100	glabrous	0	-	101	green,reddish	-	30	100	0	-	0	-	0	-	-	0	2400
Peperomia blanda 	10000000000000000000000000000000000000000	globos,ovoid	10000000000	verruculos	0	-	0	-	0	-	1000000	brown	100000000	obliqu	0	-	1	subapical	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	-	1000000000000000000000	epiphytic	0	-	0	-	0	-	11000000	erect,ascending	0	-	-	-	-	-	Inflorescence |, single or few together; 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	0	-	0	-	-	0	-	peduncle |, pubescent or crisp-pubescent; 	-	-	-	0	-	0	-	0	-	0.7-3.2 cm long	-	0.7	3.2	terminal or axillary	1010	axillary,terminal	0	-	-	0	-	0	-	spike |, green, densely to laxly flowered; 	0	-	0	-	10000001	green,red	2.5-15 cm long	-	2.5	15	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves opposite or in whorls of 3-7 (sometimes dimorphic), basely attached;      	-	3	7	0	-	-	0	-	0	-	0	-	0	-	apex acute or somewhat acuminate, 	100000000000000000000000000000000000000000000	acuminat,acut	0	-	0	-	base acute, pubescent usually on both sides; 	1000000000000	acut	0	-	0	-	0	-	-	-	-	-	2-8 x 0.8-4 cm	2-8	-	2	8	0.8-4	-	0.8	4	0	-	margin ciliate, 	-	-	-	0	-	10000000	ciliat	elliptic, narrowly elliptic, or obovate, often rhombic	-	-	-	100000000000000000000000000000000000000000000000000000000000000000000	elliptic,obovat,rhombic	slightly fleshy	1000	fleshy	0	-	petiole |, pubescent; 	-	-	-	0	-	0	-	0	-	0	-	0	-	-	0.2	1	3	-	-	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	10000000000000000	villous	0	-	101	green,reddish	-	10	20	0	-	0	-	0	-	-	200	1100
Peperomia delascioi 	1000000000000000000000000000000000000000000000000000000	conic,ellipsoid,oblong,stipitat	100000000000	smooth	0	-	0	-	0	-	1000000	brown	0	-	0	-	0	-	-	1	1.1	0.5	-	-	0	-	stigma apical, mammiform.	-	-	-	0	-	0	-	0	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	-	-	0	-	10000000000000000000	 nodes	0	-	0	-	11000001	creeping,erect,ascending	0	-	up to 9 cm	-	-	9	Inflorescence |, solitary; 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	0	-	0	-	erect	10000000	erect	peduncle |, minutely hirtellous, without bracts; 	-	-	-	0	-	100000	hirtellous	0	-	0.3-0.5 cm long	-	0.3	0.5	terminal opposite the uppermost leaves	1000	terminal	0	-	rachis glabrous. 	100	glabrous	0	-	spike with scattered flowers, 	0	-	0	-	10000000	red	0.6-3 cm long	-	0.6	3	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	upper internodes 4-10 mm long	-	4	10	0	-	0	-	0	-	Uppermost leaves opposite, the others alternate;      	-	-	-	0	-	blade basely attached or slightly peltate, 	100000000000000000000000000000000000000000000000000000000000000000000000000	peltat	0	-	0	-	0	-	apex emarginate with some hairs at notch, 	0	-	0	-	100000000000	hairs	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	10000000000000000000000000000000000000000000000000000000000000000000000	rounded,truncat	100100	glabrous,hirtellous	0	-	0	-	-	-	-	-	0.5-0.8 x 0.5-1 cm	0.5-0.8	-	0.5	0.8	0.5-1	-	0.5	1	0	-	margin not ciliate, 	-	-	-	0	-	10000000	ciliat	oblately suborbicular	-	-	-	100000000000000000000000000000000000000000000000000	suborbicular	fleshy-membranous	1000000001000	fleshy,membranous	0	-	petiole |, minutely hirtellous; 	-	-	-	0	-	0	-	0	-	100000	hirtellous	0	-	-	0.3	0.8	-	3	5	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	100000100000	hairs,hirtellous	1000000000	spreading	0	-	0.1	-	-	0	-	0	-	0	-	-	2000	-
Peperomia emarginella 	1000000000000000000000000000000000000000000000000000000	ellipsoid	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	1	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	-	-	0	-	10000000000000000000	 nodes	0	-	10000000000000100	glabrous,villous	1	creeping	0	-	-	-	-	-	Inflorescence |, single, 	-	-	-	0	-	0	-	0	-	0	-	100000000010000000000000000000000000000	oblong,orbicular	0	-	0	-	0	-	0	-	erect	10000000	erect	peduncle slender, |, pinkish; 	-	-	-	10000000000000	slender	0	-	10000	pinkish	to 1 cm long	-	-	1	terminal	1000	terminal	0	-	-	0	-	0	-	spike |, laxly flowered; 	0	-	0	-	10000000	red	to 1.5 cm long	-	-	1.5	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	-	0	-	blade |, bright green, |, 	0	-	0	-	0	-	1	green	apex emarginate, 	0	-	0	-	0	-	base rounded or truncate, glabrous or with a few hairs; 	10000000000000000000000000000000000000000000000000000000000000000000000	rounded,truncat	100000000100	glabrous,hairs	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	margin somewhat ciliate, 	-	-	-	0	-	10000000	ciliat	orbicular or subreniform	-	-	-	1000000000000000000000000000000000000000000000	orbicular,subreniform	slightly fleshy	1000	fleshy	0	-	petiole |, often red, glabrous or with sparse hairs; 	-	-	-	0	-	0	-	0	-	100000000100	glabrous,hairs	10000000	red	-	0.1	0.5	3	-	-	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	0	-	0	-	0	-	-	0	600
Peperomia galioides 	10000000000000000000000000000000000000000	globos	0	-	0	-	0	-	0	-	1000000	brown	100000000	obliqu	0	-	1	subapical	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	-	1000000000000000000000	epiphytic	0	-	0	-	0	-	0	-	0	-	-	-	-	-	Inflorescence |, often in groups of 2-5; 	-	2	5	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	0	-	0	-	-	0	-	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	-	-	-	10000000000000000000000000000000000000000000000000000000000000000000	not slender,winged	100000000000000000	glabrous,minutely pubescent	1	green	0.2-1.2 cm long	-	0.2	1.2	terminal or axillary	1010	axillary,terminal	0	-	-	0	-	0	-	spike |, pale yellow to green, laxly flowered; 	0	-	0	-	1000000000010000000	green,red,yellow	up to 15 cm long	-	-	15	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves in whorls of 1-4, basely attached;      	-	1	4	0	-	blade |, ciliate towards obtuse apex, 	1000000000000000	obtus	0	-	10000000	ciliat	0	-	-	0	-	0	-	0	-	base acutish, glabrous; 	1000000000000	acut	100	glabrous	0	-	0	-	-	-	-	-	0.5-3.0 x 0.2-0.6 cm	0.5-3.0	-	0.5	3	0.2-0.6	-	0.2	0.6	0	-	-	-	-	-	0	-	0	-	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	-	-	-	100000000000000000000000000000000000000000000000000000000000000000000000	elliptic,oblanceolate,spathulat	fleshy to subcoriaceous	1001	subcoriaceous,fleshy	0	-	petiole |, minutely pubescent; 	-	-	-	0	-	0	-	0	-	100000000000000000	minutely pubescent	0	-	-	-	0.3	3	-	-	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	0	-	0	-	100000000000000000	glabrous,minutely pubescent	0	-	10000001	green,red	-	10	80	0	-	0	-	0	-	-	2250	2500
Peperomia glabella 	10000000000000000000000000000000000000000	globos	0	-	100	lateral	0	-	0	-	1000100	brown,reddish	100000000	obliqu	0	-	1	subapical	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	-	0	-	0	-	0	-	0	-	11001000	erect,ascending,hanging	1000000000000000	ros	-	-	-	-	Inflorescence |, single, or several in upper leaf axils, 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	100	glabrous	10000000000	black	erect to pendent	10010000000	erect,pendent	peduncle |, glabrous, black-glandular; 	-	-	-	0	-	100	glabrous	10000000000	black	0.5-1.5 cm long	-	0.5	1.5	terminal	1000	terminal	0	-	-	0	-	0	-	spike |, moderately densely flowered, flowers distinctly separate; 	100000000000000000000000000000000000000000	separat	0	-	10000000	red	to 16 cm long	-	-	16	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves basely attached, alternate;      	-	-	-	0	-	blade |, densely black-glandular (when dried), |, 	0	-	0	-	0	-	10000000000	black	apex acute to acuminate, 	100000000000000000000000000000000000000000000	acuminat,acut	0	-	0	-	base acute to acuminate, sometimes subobtuse, glabrous; 	100000000000000000000000000000000000000000000	acuminat,acut,obtus	100	glabrous	0	-	0	-	-	-	-	-	1.5-8 x 0.5-3.5 cm	1.5-8	-	1.5	8	0.5-3.5	-	0.5	3.5	0	-	margin ciliate near apex, 	-	-	-	0	-	10000000	ciliat	narrowly ovate or ovate	-	-	-	10000000000000000000000000000000000000000000000000000000000000000000000000	ovat	fleshy to membranous	1000000001000	fleshy,membranous	0	-	petiole |, usually ciliate with 2 rows of hairs; 	2	-	-	0	-	0	-	0	-	100010000000	ciliat,hairs	0	-	-	0.5	1	-	3	5	100000000000000000000000000000000	palmately	0	-	0	-	0	-	100000000000	mat	0	-	10000000000000000000	decurrent, nodes	0	-	100000000100	glabrous,hairs	0	-	101	green,reddish	-	-	15	0	-	0	-	0	-	-	0	2400
Peperomia gracieana 	100000000000000000000000000000000000	flat	0	-	0	-	0	-	100000000000	mat	1	green	0	-	0	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	-	100000000000000000	terrestrial	10000000000000000000	 nodes	0	-	0	-	1	creeping	0	-	-	-	-	-	Inflorescence single, 	-	-	-	0	-	0	-	0	-	0	-	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	100	glabrous	0	-	-	0	-	peduncle slender, |, glabrous, green; 	-	-	-	10000000000000	slender	100	glabrous	1	green	1.5-1.7 cm long	-	1.5	1.7	axillary	10	axillary	0	-	-	0	-	0	-	spike laxly flowered, |, green; 	0	-	0	-	10000001	green,red	4-6 cm long	-	4	6	-	0	-	0	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	0	-	0	-	Leaves alternate, distinctly peltate;      	-	-	-	100000000000000000000000000000000000000000000000000000000000000000000000000	peltat	-	0	-	0	-	0	-	0	-	apex rounded, 	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	0	-	0	-	base rounded, pilose with erect trichomes on upper surface; 	10000000000000000000000000000000000000000000000000000000000000000000000	rounded	1000001000	pilose,trichomes	10000000	erect	0	-	-	-	-	-	1-4.5 x 1-3.5 cm	1-4.5	-	1	4.5	1-3.5	-	1	3.5	0	-	-	-	-	-	0	-	0	-	broadly elliptic to orbicular	-	-	-	1000000000000010000000000000000000000000000	elliptic,orbicular	fleshy in vivo, membranous almost transparent when dried	1000000001000	fleshy,membranous	1000	transparent	petiole |, glabrous; 	-	-	-	0	-	0	-	0	-	100	glabrous	0	-	-	1	5	-	6	8	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	100	glabrous	0	-	100000000000000000	green,whitish	40	-	-	10001001000000000000000	creek,rock,forest floor,logs	100000000001	creeping,mat	0	-	-	150	500
